OBSR_NO.,DAY,Location,No. Empl,Customer Sat,Application Used,Loan/Lease,Approved/Dis,Amount,Approval Time,Wait for Info,Wait - Discrete,Cycle Time,Log10 Cycle Time,Cycle Time - Discrete
330,4,New York,10,3,1,Lease,Approved,25,5,2,Yes,10,1,Fail
331,4,New York,12,5,2,Loan,Approved,51,4,0,No,7,0.8451,Pass
332,4,New York,12,5,2,Loan,Approved,62,3,1,Yes,5,0.69897,Pass
333,4,New York,12,5,2,Lease,Approved,83,5,0,No,9,0.95424,Fail
334,4,New York,10,5,2,Lease,Approved,94,4,1,Yes,6,0.77815,Pass
335,4,New York,18,5,1,Lease,Disapproved,65,4,0,No,8,0.90309,Pass
336,4,New York,8,5,1,Lease,Approved,59,4,0,No,8,0.90309,Pass
337,4,New York,6,5,1,Lease,Approved,18,5,0,No,9,0.95424,Fail
338,4,Paris,10,5,1,Lease,Approved,27,4,1,Yes,6,0.77815,Pass
339,4,Sydney,11,5,1,Loan,Approved,46,5,2,Yes,10,1,Fail
340,4,Sydney,12,4,3,Lease,Approved,65,7,2,Yes,13,1.11394,Fail
341,4,Sydney,14,1,2,Lease,Disapproved,81,8,3,Yes,16,1.20412,Fail
342,4,Paris,9,5,2,Loan,Approved,72,3,1,Yes,5,0.69897,Pass
343,4,Paris,15,4,3,Lease,Disapproved,70,4,0,No,8,0.90309,Pass
344,4,New York,8,5,2,Loan,Approved,54,6,2,Yes,11,1.04139,Fail
345,4,Sydney,8,5,3,Lease,Approved,25,7,5,Yes,13,1.11394,Fail
346,4,New York,9,5,2,Lease,Approved,29,4,0,No,7,0.8451,Pass
347,4,New York,11,5,1,Lease,Approved,48,5,0,No,10,1,Fail
348,4,Paris,5,5,1,Lease,Approved,47,3,0,No,5,0.69897,Pass
349,4,Sydney,10,3,2,Loan,Approved,66,8,4,Yes,17,1.23045,Fail
350,4,New York,12,5,3,Lease,Approved,25,4,1,Yes,6,0.77815,Pass
351,4,Sydney,8,4,1,Lease,Approved,41,7,3,Yes,14,1.14613,Fail
352,4,Paris,9,4,2,Loan,Approved,72,3,0,No,5,0.69897,Pass
353,4,New York,11,4,1,Loan,Approved,13,3,0,No,5,0.69897,Pass
354,4,New York,12,4,3,Lease,Approved,24,4,0,No,6,0.77815,Pass
355,4,Paris,16,4,1,Loan,Disapproved,55,4,0,No,6,0.77815,Pass
356,4,Paris,14,4,1,Lease,Disapproved,74,4,0,No,6,0.77815,Pass
357,4,New York,10,4,3,Lease,Approved,58,5,0,No,10,1,Fail
358,4,Paris,9,4,1,Loan,Approved,87,4,0,No,6,0.77815,Pass
359,4,Sydney,11,1,3,Lease,Approved,26,8,4,Yes,17,1.23045,Fail
360,4,Paris,6,4,3,Lease,Approved,15,4,0,No,6,0.77815,Pass
361,4,Sydney,14,4,1,Lease,Disapproved,61,7,3,Yes,14,1.14613,Fail
362,4,Paris,6,4,1,Loan,Approved,60,4,0,No,6,0.77815,Pass
363,4,New York,10,4,1,Lease,Approved,63,5,0,No,10,1,Fail
364,4,New York,13,4,2,Lease,Disapproved,24,4,0,No,8,0.90309,Pass
365,4,New York,10,4,2,Lease,Approved,45,5,0,No,9,0.95424,Fail
366,4,New York,7,3,3,Loan,Approved,59,2,0,No,4,0.60206,Pass
367,4,New York,11,3,2,Lease,Approved,18,5,0,No,9,0.95424,Fail
368,4,New York,12,3,3,Lease,Approved,47,5,0,No,9,0.95424,Fail
369,4,New York,3,3,1,Loan,Approved,36,5,2,Yes,10,1,Fail
370,4,New York,12,3,3,Lease,Approved,55,4,1,Yes,6,0.77815,Pass
371,5,Paris,10,3,3,Loan,Approved,41,4,0,No,7,0.8451,Pass
372,5,Sydney,14,3,2,Lease,Disapproved,52,7,4,Yes,13,1.11394,Fail
373,5,Sydney,9,3,3,Lease,Approved,43,10,4,Yes,19,1.27875,Fail
374,5,New York,11,3,2,Loan,Approved,74,6,5,Yes,12,1.07918,Fail
375,5,Paris,9,3,2,Lease,Approved,35,4,0,No,7,0.8451,Pass
376,5,Sydney,5,2,1,Lease,Approved,19,9,4,Yes,17,1.23045,Fail
377,5,New York,14,4,3,Lease,Disapproved,68,5,0,No,10,1,Fail
378,5,Sydney,10,1,2,Lease,Approved,37,8,3,Yes,16,1.20412,Fail
379,5,Sydney,9,2,2,Lease,Approved,46,7,4,Yes,13,1.11394,Fail
380,5,New York,13,2,3,Loan,Disapproved,55,6,2,Yes,11,1.04139,Fail
381,5,Sydney,4,3,1,Lease,Approved,80,9,4,Yes,18,1.25527,Fail
382,5,Sydney,8,3,3,Lease,Approved,32,9,6,Yes,18,1.25527,Fail
383,5,New York,9,3,3,Lease,Approved,43,5,0,No,9,0.95424,Fail
384,5,Paris,9,5,3,Lease,Approved,24,4,0,No,7,0.8451,Pass
385,5,Sydney,9,2,2,Loan,Approved,45,7,3,Yes,14,1.14613,Fail
386,5,New York,5,5,2,Lease,Approved,79,5,0,No,9,0.95424,Fail
387,5,Paris,10,5,2,Loan,Approved,48,4,0,No,7,0.8451,Pass
388,5,Sydney,16,1,3,Lease,Disapproved,67,11,5,Yes,22,1.34242,Fail
389,5,Sydney,10,4,3,Lease,Approved,36,7,4,Yes,13,1.11394,Fail
390,5,Sydney,8,2,1,Loan,Approved,15,10,4,Yes,19,1.27875,Fail
391,5,Sydney,4,5,1,Lease,Approved,71,6,2,Yes,12,1.07918,Fail
392,5,Sydney,10,1,3,Loan,Approved,82,13,2,Yes,27,1.43136,Fail
393,5,New York,14,3,1,Lease,Disapproved,33,4,1,Yes,7,0.8451,Pass
394,5,Sydney,11,5,1,Lease,Approved,24,5,2,Yes,10,1,Fail
395,5,New York,16,4,3,Lease,Disapproved,85,4,0,No,6,0.77815,Pass
396,5,New York,13,1,2,Lease,Disapproved,29,7,5,Yes,13,1.11394,Fail
397,5,Sydney,10,4,1,Lease,Approved,78,7,5,Yes,13,1.11394,Fail
398,5,Sydney,13,1,1,Lease,Approved,67,12,8,Yes,24,1.38021,Fail
399,5,New York,11,5,3,Lease,Approved,56,4,0,No,8,0.90309,Pass
400,5,Sydney,6,3,1,Lease,Approved,40,9,7,Yes,18,1.25527,Fail
401,5,New York,12,5,1,Lease,Approved,31,4,0,No,8,0.90309,Pass
402,5,New York,14,5,3,Loan,Disapproved,22,4,0,No,8,0.90309,Pass
403,5,Paris,10,5,1,Lease,Approved,73,4,0,No,7,0.8451,Pass
404,5,New York,8,5,1,Loan,Approved,34,4,0,No,8,0.90309,Pass
405,5,New York,13,5,3,Lease,Approved,55,5,0,No,9,0.95424,Fail
406,5,Sydney,9,4,2,Loan,Approved,49,6,5,Yes,12,1.07918,Fail
407,5,New York,5,4,2,Lease,Approved,38,7,4,Yes,13,1.11394,Fail
408,5,Paris,8,4,3,Loan,Approved,17,3,1,Yes,5,0.69897,Pass
409,5,Sydney,9,2,1,Lease,Approved,36,12,2,Yes,26,1.41497,Fail
410,5,New York,7,4,1,Lease,Approved,25,4,1,Yes,6,0.77815,Pass
411,5,Sydney,7,4,1,Lease,Approved,91,7,5,Yes,13,1.11394,Fail
412,5,New York,7,4,1,Lease,Approved,32,0,0,No,3,0.47712,Pass
413,5,New York,6,4,3,Lease,Approved,43,4,1,Yes,7,0.8451,Pass
414,5,New York,6,4,1,Lease,Approved,79,5,0,No,10,1,Fail
415,5,Sydney,9,4,1,Lease,Approved,55,9,4,Yes,17,1.23045,Fail
416,5,Sydney,9,4,3,Loan,Approved,39,10,4,Yes,19,1.27875,Fail
417,5,New York,9,4,1,Lease,Approved,38,7,3,Yes,14,1.14613,Fail
418,5,Sydney,5,4,2,Lease,Approved,27,7,5,Yes,13,1.11394,Fail
419,5,Paris,8,4,2,Lease,Approved,60,4,0,No,6,0.77815,Pass
420,5,New York,8,4,2,Lease,Approved,55,4,1,Yes,7,0.8451,Pass
421,5,New York,13,3,2,Lease,Approved,41,5,0,No,10,1,Fail
422,5,Sydney,7,3,3,Loan,Approved,82,8,4,Yes,17,1.23045,Fail
423,5,New York,11,5,3,Lease,Approved,33,4,1,Yes,6,0.77815,Pass
424,5,Sydney,11,3,2,Lease,Approved,74,11,5,Yes,23,1.36173,Fail
425,5,Sydney,5,3,2,Lease,Approved,65,10,4,Yes,19,1.27875,Fail
426,5,Sydney,11,3,3,Loan,Approved,94,5,0,No,10,1,Fail
427,5,Sydney,16,3,1,Lease,Disapproved,48,7,4,Yes,13,1.11394,Fail
428,5,New York,16,3,3,Lease,Disapproved,47,4,0,No,8,0.90309,Pass
429,5,Sydney,14,3,2,Lease,Disapproved,66,9,7,Yes,18,1.25527,Fail
430,5,Sydney,7,3,2,Loan,Approved,25,9,7,Yes,17,1.23045,Fail
431,5,Sydney,11,1,1,Lease,Approved,41,8,6,Yes,15,1.17609,Fail
432,5,Sydney,10,2,1,Lease,Approved,72,9,6,Yes,17,1.23045,Fail
433,5,Sydney,9,2,1,Loan,Approved,53,5,0,No,10,1,Fail
434,5,New York,9,2,2,Loan,Approved,44,6,5,Yes,12,1.07918,Fail
435,5,New York,9,4,3,Lease,Approved,85,3,0,No,5,0.69897,Pass
436,5,Sydney,10,1,2,Lease,Approved,39,11,4,Yes,21,1.32222,Fail
437,5,Paris,10,4,2,Loan,Approved,48,3,1,Yes,5,0.69897,Pass
438,5,Sydney,8,4,3,Loan,Approved,10,8,6,Yes,15,1.17609,Fail
439,5,New York,9,4,1,Lease,Approved,26,6,2,Yes,11,1.04139,Fail
440,5,Paris,10,5,3,Lease,Approved,55,2,0,No,4,0.60206,Pass
441,5,Paris,16,5,1,Lease,Disapproved,71,0,0,No,3,0.47712,Pass
442,5,New York,7,5,1,Loan,Approved,62,5,0,No,10,1,Fail
443,5,New York,8,5,2,Loan,Approved,43,4,1,Yes,6,0.77815,Pass
444,5,New York,6,5,3,Lease,Approved,64,4,2,Yes,7,0.8451,Pass
445,5,New York,6,5,3,Lease,Approved,75,4,1,Yes,7,0.8451,Pass
446,5,Paris,13,5,3,Lease,Approved,39,2,1,Yes,4,0.60206,Pass
447,5,Sydney,15,1,1,Lease,Disapproved,98,8,3,Yes,15,1.17609,Fail
448,5,New York,6,5,2,Lease,Approved,107,5,0,No,9,0.95424,Fail
449,5,New York,17,3,1,Loan,Disapproved,46,4,0,No,8,0.90309,Pass
450,5,New York,12,5,1,Lease,Approved,115,5,0,No,9,0.95424,Fail
451,5,Sydney,9,1,1,Lease,Approved,81,13,3,Yes,29,1.4624,Fail
452,5,New York,5,5,1,Lease,Approved,72,4,0,No,6,0.77815,Pass
453,5,New York,7,5,1,Lease,Approved,23,5,0,No,10,1,Fail
454,5,New York,7,5,2,Lease,Approved,54,4,0,No,8,0.90309,Pass
455,5,Sydney,9,1,2,Loan,Approved,25,9,7,Yes,18,1.25527,Fail
456,5,Sydney,12,3,3,Loan,Approved,19,8,4,Yes,17,1.23045,Fail
457,5,Sydney,11,2,1,Lease,Approved,40,8,4,Yes,17,1.23045,Fail
458,5,New York,10,5,1,Lease,Approved,77,4,0,No,7,0.8451,Pass
459,5,New York,12,5,2,Lease,Approved,36,3,1,Yes,5,0.69897,Pass
460,5,Sydney,10,1,1,Lease,Approved,65,11,8,Yes,23,1.36173,Fail
461,5,Paris,11,5,2,Lease,Approved,41,0,0,No,3,0.47712,Pass
462,5,Sydney,3,3,3,Loan,Approved,72,8,3,Yes,16,1.20412,Fail
463,5,Paris,13,4,2,Lease,Approved,53,3,0,No,5,0.69897,Pass
464,5,New York,9,4,2,Lease,Approved,104,4,0,No,8,0.90309,Pass
465,5,New York,11,4,1,Lease,Approved,55,4,1,Yes,7,0.8451,Pass
466,5,New York,15,4,3,Lease,Disapproved,49,4,0,No,6,0.77815,Pass
467,5,Sydney,7,4,2,Lease,Approved,28,6,2,Yes,11,1.04139,Fail
468,5,Sydney,8,4,1,Lease,Approved,57,9,7,Yes,18,1.25527,Fail
469,5,Sydney,9,4,2,Loan,Approved,46,10,4,Yes,19,1.27875,Fail
470,5,Sydney,4,2,1,Loan,Approved,55,8,3,Yes,16,1.20412,Fail
471,5,Paris,4,4,2,Lease,Approved,61,2,0,No,4,0.60206,Pass
472,5,New York,8,4,1,Lease,Approved,52,7,2,Yes,13,1.11394,Fail
473,5,New York,3,4,3,Lease,Approved,93,3,1,Yes,5,0.69897,Pass
474,5,New York,9,1,1,Loan,Approved,94,8,4,Yes,17,1.23045,Fail
475,5,New York,10,1,1,Lease,Approved,55,8,3,Yes,16,1.20412,Fail
476,5,New York,8,3,1,Lease,Approved,50,7,2,Yes,13,1.11394,Fail
477,5,New York,11,3,3,Loan,Approved,88,6,3,Yes,11,1.04139,Fail
478,5,New York,11,3,1,Lease,Approved,67,5,0,No,9,0.95424,Fail
479,5,Sydney,11,3,2,Lease,Approved,76,6,3,Yes,11,1.04139,Fail
480,5,Sydney,11,3,2,Lease,Approved,35,7,3,Yes,14,1.14613,Fail
481,5,Sydney,12,3,3,Lease,Approved,41,7,3,Yes,14,1.14613,Fail
482,5,Sydney,7,3,3,Lease,Approved,32,7,2,Yes,13,1.11394,Fail
483,5,Sydney,11,3,3,Lease,Approved,33,7,3,Yes,14,1.14613,Fail
484,5,Sydney,11,3,2,Lease,Approved,54,8,4,Yes,17,1.23045,Fail
485,5,Paris,12,3,2,Lease,Approved,55,4,1,Yes,7,0.8451,Pass
486,5,Sydney,6,2,2,Lease,Approved,69,8,3,Yes,16,1.20412,Fail
487,5,Sydney,9,2,3,Lease,Approved,73,6,2,Yes,12,1.07918,Fail
488,5,New York,10,4,1,Lease,Approved,72,5,3,Yes,10,1,Fail
489,5,New York,9,2,2,Lease,Approved,46,6,2,Yes,11,1.04139,Fail
490,5,New York,11,4,3,Loan,Approved,45,5,3,Yes,10,1,Fail
491,5,New York,16,1,3,Loan,Disapproved,61,6,2,Yes,12,1.07918,Fail
492,5,Sydney,15,1,2,Lease,Disapproved,62,6,3,Yes,11,1.04139,Fail
493,5,New York,7,4,1,Loan,Approved,43,6,2,Yes,11,1.04139,Fail
494,5,Paris,6,4,3,Lease,Approved,84,4,1,Yes,6,0.77815,Pass
495,5,Paris,15,4,1,Lease,Disapproved,40,4,1,Yes,6,0.77815,Pass
496,5,Sydney,4,5,1,Lease,Approved,50,11,4,Yes,21,1.32222,Fail
497,5,Paris,14,5,3,Lease,Disapproved,48,4,2,Yes,7,0.8451,Pass
498,5,New York,8,5,1,Lease,Approved,37,3,0,No,5,0.69897,Pass
499,5,Sydney,14,2,2,Lease,Disapproved,56,11,4,Yes,21,1.32222,Fail
500,5,New York,15,1,2,Loan,Disapproved,45,8,3,Yes,15,1.17609,Fail
501,5,New York,12,5,1,Lease,Approved,61,3,1,Yes,5,0.69897,Pass
502,5,New York,13,5,2,Loan,Approved,72,4,0,No,7,0.8451,Pass
503,5,Sydney,13,1,1,Lease,Disapproved,88,12,3,Yes,26,1.41497,Fail
504,5,Sydney,9,1,2,Lease,Approved,24,13,8,Yes,25,1.39794,Fail
505,5,New York,8,5,1,Lease,Approved,45,5,0,No,10,1,Fail
506,5,New York,7,5,1,Lease,Approved,69,5,0,No,10,1,Fail
507,5,Sydney,11,4,2,Loan,Approved,78,8,6,Yes,15,1.17609,Fail
508,5,New York,13,2,3,Lease,Disapproved,47,5,0,No,9,0.95424,Fail
509,5,New York,10,5,3,Lease,Approved,71,4,0,No,6,0.77815,Pass
510,5,New York,11,5,1,Loan,Approved,15,6,2,Yes,12,1.07918,Fail
511,5,New York,8,2,1,Lease,Approved,41,7,3,Yes,14,1.14613,Fail
512,5,Sydney,12,5,2,Lease,Approved,32,11,4,Yes,21,1.32222,Fail
513,5,Paris,10,5,1,Loan,Approved,43,0,0,No,3,0.47712,Pass
514,5,Sydney,14,2,2,Loan,Disapproved,24,11,4,Yes,21,1.32222,Fail
515,5,New York,4,5,1,Lease,Approved,30,4,0,No,8,0.90309,Pass
516,5,New York,12,4,1,Lease,Approved,39,0,0,No,3,0.47712,Pass
517,5,Sydney,5,1,2,Lease,Approved,48,8,4,Yes,17,1.23045,Fail
518,6,Paris,8,4,2,Loan,Approved,47,5,0,No,9,0.95424,Fail
519,6,New York,16,4,3,Lease,Disapproved,36,4,0,No,8,0.90309,Pass
520,6,Sydney,12,4,3,Lease,Approved,55,7,3,Yes,14,1.14613,Fail
521,6,Paris,14,4,2,Lease,Disapproved,51,3,0,No,5,0.69897,Pass
522,6,New York,4,4,3,Lease,Approved,52,6,1,Yes,11,1.04139,Fail
523,6,New York,7,4,1,Loan,Approved,43,4,0,No,7,0.8451,Pass
524,6,Paris,12,4,2,Loan,Approved,54,3,0,No,5,0.69897,Pass
525,6,Paris,6,4,2,Loan,Approved,45,2,0,No,4,0.60206,Pass
526,6,New York,9,4,1,Loan,Approved,69,5,0,No,9,0.95424,Fail
527,6,New York,10,4,1,Lease,Approved,78,4,0,No,7,0.8451,Pass
528,6,New York,10,4,2,Lease,Approved,27,4,0,No,8,0.90309,Pass
529,6,New York,13,4,3,Lease,Disapproved,26,4,0,No,8,0.90309,Pass
530,6,Paris,13,4,1,Lease,Disapproved,25,4,0,No,7,0.8451,Pass
531,6,Sydney,5,3,2,Lease,Approved,41,6,2,Yes,11,1.04139,Fail
532,6,Paris,10,5,1,Lease,Approved,52,3,0,No,5,0.69897,Pass
533,6,New York,11,3,2,Loan,Approved,43,5,0,No,9,0.95424,Fail
534,6,Sydney,10,3,2,Lease,Approved,50,7,2,Yes,13,1.11394,Fail
535,6,Sydney,9,3,2,Lease,Approved,145,10,4,Yes,20,1.30103,Fail
536,6,Sydney,7,3,1,Loan,Approved,19,7,2,Yes,13,1.11394,Fail
537,6,Sydney,11,4,3,Lease,Approved,38,4,1,Yes,6,0.77815,Pass
538,6,Paris,15,5,1,Loan,Disapproved,27,0,0,No,3,0.47712,Pass
539,6,Sydney,13,3,3,Lease,Disapproved,26,7,3,Yes,14,1.14613,Fail
540,6,New York,14,3,3,Lease,Disapproved,35,3,1,Yes,5,0.69897,Pass
541,6,New York,11,4,3,Loan,Approved,51,4,0,No,7,0.8451,Pass
542,6,New York,8,2,3,Loan,Approved,72,5,0,No,10,1,Fail
543,6,Sydney,12,2,2,Lease,Approved,83,7,2,Yes,13,1.11394,Fail
544,6,Sydney,13,2,1,Loan,Approved,74,7,2,Yes,13,1.11394,Fail
545,6,Sydney,11,2,2,Lease,Approved,85,13,3,Yes,27,1.43136,Fail
546,6,New York,10,5,3,Lease,Approved,79,4,1,Yes,7,0.8451,Pass
547,6,New York,11,4,1,Lease,Approved,73,4,2,Yes,7,0.8451,Pass
548,6,Sydney,7,5,1,Lease,Approved,77,5,0,No,10,1,Fail
549,6,New York,10,3,2,Lease,Approved,16,4,1,Yes,7,0.8451,Pass
550,6,Paris,11,5,1,Loan,Approved,35,4,1,Yes,7,0.8451,Pass
551,6,Sydney,10,4,2,Lease,Approved,91,8,4,Yes,17,1.23045,Fail
552,6,New York,9,5,2,Lease,Approved,52,6,3,Yes,12,1.07918,Fail
553,6,New York,10,5,1,Lease,Approved,85,4,0,No,8,0.90309,Pass
554,6,Sydney,9,5,1,Lease,Approved,44,6,1,Yes,11,1.04139,Fail
555,6,New York,10,5,1,Lease,Approved,95,4,1,Yes,7,0.8451,Pass
556,6,Sydney,6,4,1,Lease,Approved,29,7,3,Yes,14,1.14613,Fail
557,6,New York,9,5,1,Lease,Approved,38,5,0,No,9,0.95424,Fail
558,6,New York,12,5,2,Lease,Approved,67,4,0,No,8,0.90309,Pass
559,6,New York,6,5,3,Loan,Approved,46,5,0,No,9,0.95424,Fail
560,6,New York,10,5,3,Lease,Approved,65,5,0,No,9,0.95424,Fail
561,6,New York,14,4,2,Loan,Disapproved,96,3,1,Yes,5,0.69897,Pass
562,6,New York,6,5,2,Lease,Approved,32,6,2,Yes,11,1.04139,Fail
563,6,New York,14,5,2,Loan,Disapproved,53,4,2,Yes,7,0.8451,Pass
564,6,New York,13,5,1,Lease,Approved,54,5,0,No,9,0.95424,Fail
565,6,New York,7,5,1,Lease,Approved,55,5,0,No,9,0.95424,Fail
566,6,New York,7,5,2,Lease,Approved,69,4,0,No,8,0.90309,Pass
567,6,New York,13,5,2,Lease,Approved,18,3,1,Yes,5,0.69897,Pass
568,6,Sydney,8,5,2,Loan,Approved,7,6,1,Yes,11,1.04139,Fail
569,6,New York,13,5,3,Lease,Approved,16,4,0,No,6,0.77815,Pass
570,6,New York,10,5,3,Lease,Approved,70,4,0,No,8,0.90309,Pass
571,6,Sydney,3,3,2,Loan,Approved,41,8,3,Yes,15,1.17609,Fail
572,6,New York,14,3,3,Lease,Disapproved,80,6,1,Yes,12,1.07918,Fail
573,6,New York,7,4,3,Loan,Approved,23,4,0,No,8,0.90309,Pass
574,6,New York,12,4,3,Lease,Approved,44,4,0,No,8,0.90309,Pass
575,6,New York,11,4,3,Loan,Approved,45,2,0,No,4,0.60206,Pass
576,6,New York,5,4,3,Lease,Approved,109,5,0,No,9,0.95424,Fail
577,6,New York,15,4,1,Loan,Disapproved,58,4,1,Yes,6,0.77815,Pass
578,6,New York,11,4,2,Loan,Approved,17,4,0,No,8,0.90309,Pass
579,6,Sydney,8,4,3,Lease,Approved,66,6,2,Yes,11,1.04139,Fail
580,6,New York,10,4,3,Lease,Approved,15,5,0,No,9,0.95424,Fail
581,6,New York,14,4,3,Loan,Disapproved,61,5,2,Yes,10,1,Fail
582,6,New York,6,4,3,Loan,Approved,72,4,0,No,6,0.77815,Pass
583,6,Sydney,9,4,1,Loan,Approved,33,7,5,Yes,13,1.11394,Fail
584,6,New York,6,4,2,Loan,Approved,94,5,0,No,10,1,Fail
585,6,Sydney,12,4,1,Lease,Approved,55,7,3,Yes,14,1.14613,Fail
586,6,New York,12,3,3,Lease,Approved,39,5,0,No,9,0.95424,Fail
587,6,New York,6,3,2,Lease,Approved,83,4,0,No,7,0.8451,Pass
588,6,Paris,9,4,1,Lease,Approved,37,3,1,Yes,5,0.69897,Pass
589,6,New York,16,4,3,Lease,Disapproved,36,4,1,Yes,6,0.77815,Pass
590,6,Sydney,12,3,1,Lease,Approved,50,6,2,Yes,11,1.04139,Fail
591,6,Paris,14,5,2,Loan,Disapproved,31,4,1,Yes,6,0.77815,Pass
592,6,New York,6,3,2,Loan,Approved,82,5,0,No,9,0.95424,Fail
593,6,New York,10,3,1,Lease,Approved,63,4,0,No,8,0.90309,Pass
594,6,New York,16,2,3,Loan,Disapproved,14,5,0,No,9,0.95424,Fail
595,6,Sydney,8,3,1,Lease,Approved,65,6,3,Yes,11,1.04139,Fail
596,6,Sydney,13,5,2,Loan,Disapproved,19,5,0,No,10,1,Fail
597,6,Sydney,13,2,2,Lease,Disapproved,38,8,3,Yes,16,1.20412,Fail
598,6,Paris,15,5,1,Loan,Disapproved,17,4,0,No,6,0.77815,Pass
599,6,New York,2,5,3,Loan,Approved,36,4,1,Yes,6,0.77815,Pass
600,6,Sydney,8,2,3,Lease,Approved,35,9,7,Yes,18,1.25527,Fail
601,6,Paris,9,5,3,Lease,Approved,61,0,0,No,4,0.60206,Pass
602,6,Sydney,8,2,2,Lease,Approved,42,8,3,Yes,15,1.17609,Fail
603,6,Sydney,8,2,2,Lease,Approved,43,8,3,Yes,16,1.20412,Fail
604,6,Paris,10,5,1,Loan,Approved,44,0,0,No,3,0.47712,Pass
605,6,New York,6,5,3,Lease,Approved,55,4,1,Yes,7,0.8451,Pass
606,6,New York,12,5,2,Lease,Approved,39,5,2,Yes,10,1,Fail
607,6,Sydney,12,2,2,Lease,Approved,48,8,3,Yes,16,1.20412,Fail
608,6,Sydney,14,2,1,Loan,Disapproved,47,7,2,Yes,13,1.11394,Fail
609,6,New York,11,5,1,Lease,Approved,90,6,2,Yes,12,1.07918,Fail
610,6,New York,12,5,2,Loan,Approved,50,4,1,Yes,6,0.77815,Pass
611,6,New York,15,1,1,Lease,Disapproved,91,6,2,Yes,11,1.04139,Fail
612,6,Sydney,5,2,3,Lease,Approved,72,8,4,Yes,17,1.23045,Fail
613,6,Sydney,12,1,2,Loan,Approved,53,12,8,Yes,24,1.38021,Fail
614,6,Sydney,7,3,1,Loan,Approved,24,9,7,Yes,18,1.25527,Fail
615,6,Paris,14,5,2,Lease,Disapproved,45,0,0,No,3,0.47712,Pass
616,6,New York,9,5,1,Loan,Approved,19,5,0,No,9,0.95424,Fail
617,6,Sydney,9,4,1,Lease,Approved,58,7,2,Yes,13,1.11394,Fail
618,6,Paris,11,5,3,Lease,Approved,27,2,0,No,4,0.60206,Pass
619,6,New York,9,5,3,Loan,Approved,96,4,2,Yes,6,0.77815,Pass
620,6,New York,12,5,3,Lease,Approved,25,6,1,Yes,11,1.04139,Fail
621,6,Sydney,8,4,1,Lease,Approved,61,7,3,Yes,14,1.14613,Fail
622,6,Sydney,8,1,2,Loan,Approved,82,11,4,Yes,22,1.34242,Fail
623,6,New York,8,5,2,Loan,Approved,53,5,0,No,9,0.95424,Fail
624,6,New York,8,5,1,Loan,Approved,24,5,0,No,9,0.95424,Fail
625,6,Sydney,15,2,3,Lease,Disapproved,35,8,3,Yes,16,1.20412,Fail
626,6,New York,15,4,2,Loan,Disapproved,59,4,2,Yes,7,0.8451,Pass
627,6,Sydney,10,4,2,Lease,Approved,78,7,3,Yes,14,1.14613,Fail
628,6,Paris,6,4,1,Loan,Approved,47,2,0,No,4,0.60206,Pass
629,6,New York,9,4,3,Loan,Approved,16,3,0,No,5,0.69897,Pass
630,6,New York,10,4,3,Lease,Approved,55,4,0,No,8,0.90309,Pass
631,6,Sydney,11,4,2,Lease,Approved,61,9,7,Yes,18,1.25527,Fail
632,6,New York,9,4,1,Lease,Approved,52,5,0,No,10,1,Fail
633,6,Paris,11,4,2,Lease,Approved,33,4,1,Yes,6,0.77815,Pass
634,6,New York,14,4,3,Lease,Disapproved,24,5,0,No,9,0.95424,Fail
635,6,Paris,7,4,2,Lease,Approved,65,4,1,Yes,6,0.77815,Pass
636,6,New York,15,4,3,Lease,Disapproved,39,3,1,Yes,5,0.69897,Pass
637,7,New York,10,4,2,Lease,Approved,68,4,1,Yes,6,0.77815,Pass
638,7,Sydney,8,4,2,Lease,Approved,17,6,2,Yes,12,1.07918,Fail
639,7,New York,13,4,1,Loan,Disapproved,56,4,1,Yes,6,0.77815,Pass
640,7,New York,14,4,3,Loan,Disapproved,75,6,1,Yes,11,1.04139,Fail
641,7,New York,12,3,3,Lease,Approved,91,3,1,Yes,5,0.69897,Pass
642,7,New York,2,5,3,Lease,Approved,102,4,1,Yes,6,0.77815,Pass
643,7,New York,14,3,1,Lease,Disapproved,43,2,0,No,4,0.60206,Pass
644,7,New York,9,5,3,Lease,Approved,74,4,1,Yes,6,0.77815,Pass
645,7,New York,12,3,2,Loan,Approved,35,4,0,No,8,0.90309,Pass
646,7,Paris,17,3,1,Lease,Disapproved,69,4,1,Yes,7,0.8451,Pass
647,7,New York,17,4,3,Loan,Disapproved,48,4,1,Yes,6,0.77815,Pass
648,7,Paris,10,5,3,Lease,Approved,17,4,0,No,6,0.77815,Pass
649,7,Paris,13,3,1,Lease,Disapproved,56,2,0,No,4,0.60206,Pass
650,7,Paris,8,4,1,Loan,Approved,95,0,0,No,3,0.47712,Pass
651,7,Sydney,9,1,1,Lease,Approved,31,8,3,Yes,16,1.20412,Fail
652,7,Paris,6,5,2,Lease,Approved,52,4,1,Yes,7,0.8451,Pass
653,7,Paris,15,5,1,Lease,Disapproved,43,3,1,Yes,5,0.69897,Pass
654,7,New York,13,2,3,Lease,Disapproved,74,5,0,No,9,0.95424,Fail
655,7,Paris,10,5,1,Loan,Approved,45,0,0,No,3,0.47712,Pass
656,7,Sydney,11,3,2,Lease,Approved,89,8,6,Yes,15,1.17609,Fail
657,7,New York,11,5,2,Lease,Approved,58,4,1,Yes,6,0.77815,Pass
658,7,Sydney,6,3,1,Lease,Approved,47,6,5,Yes,12,1.07918,Fail
